,firstName,lastName,decade
1164,Dita,Von Teese,70s
1166,Courteney,Cox,60s
1167,Chick,Corea,40s
1168,Michael,Madsen,50s
1169,Mike,Huckabee,50s
1170,Hulk,Hogan,50s
1171,Julian,Schwinger,10s
1172,John,Cassavetes,20s
1173,Leland,H. Hartwell,30s
1174,Joel,Schumacher,30s
1175,Triple,H,60s
1176,Michael,Bay,60s
1177,Edgar,Dean Mitchell,30s
1178,Vince,McMahon,40s
1179,Bill,Paxton,50s
1180,Mira,Sorvino,60s
1181,Allen,Iverson,70s
1182,Mick,Foley,60s
1183,Rita,Hayworth,10s
1184,Christopher,Paolini,80s
1185,Robert,Rauschenberg,20s
1186,Shawn,Michaels,60s
1187,Charlie,Sheen,60s
1188,Rob,Van Dam,70s
1189,Michelle,Rodriguez,70s
1190,Keith,Haring,50s
1191,Eddie,Guerrero,60s
1193,Stan,Getz,20s
1194,Chet,Baker,20s
1195,Steve,Carell,60s
1196,Maurice,Sendak,20s
1197,Michelle,Branch,80s
1198,Susan,Sontag,30s
1199,Carrot,Top,60s
1200,Jerry,Bruckheimer,40s
1203,Sean,Hayes,70s
1204,Greg,Grunberg,60s
1205,Mike,Powell,60s
1206,Miranda,Cosgrove,90s
1207,Danny,Aiello,30s
1208,Larry,King,30s
1209,Jody,Williams,50s
1210,Giovanni,Ribisi,70s
1211,Dennis,Quaid,50s
1212,Anthony,Kiedis,60s
1215,Robert,Woodrow Wilson,30s
1216,Barry,Levinson,40s
1217,Jennifer,Tilly,50s
1218,Arthur,Ashe,40s
1219,Fran,Drescher,50s
1220,Bryce,Dallas Howard,80s
1221,Jayceon,Terrell Taylor,70s
1222,Anne,Heche,60s
1223,James,Irwin,30s
1224,Mark,Wahlberg,70s
1225,Bobby,McFerrin,50s
1226,Scottie,Pippen,60s
1228,Jerome,Isaac Friedman,30s
1229,Larry,Hagman,30s
1230,Cormac,McCarthy,30s
1231,Diane,Lane,60s
1232,Jamie,Foxx,60s
1233,John,Archibald Wheeler,10s
1234,Nate,Dogg,60s
1235,Israel,Kamakawiwo'ole,50s
1236,David,Scott,30s
1237,Kirstie,Alley,50s
1238,John,Turturro,50s
1239,Zooey,Deschanel,80s
1240,TÃ©a,Leoni,60s
1241,Jerry,West,30s
1242,Wally,Schirra,20s
1243,Gordon,Cooper,20s
1244,Ric,Flair,40s
1246,Paul,Lauterbur,20s
1247,Emily,Deschanel,70s
1248,Beau,Bridges,40s
1249,Richard,Holbrooke,40s
1251,Jennifer,Capriati,70s
1252,Rosanna,Arquette,50s
1253,Allyson,Felix,80s
1255,Adam,Levine,70s
1257,Mena,Suvari,70s
1258,Phil,Hill,20s
1259,Stanford,Moore,10s
1261,America,Ferrera,80s
1262,Shia,LaBeouf,80s
1263,Chris,Penn,60s
1264,Jim,Lovell,20s
1265,Andy,Roddick,80s
1266,Phyllis,Diller,10s
1267,Dwyane,Wade,80s
1269,Mark,Calaway,60s
1270,Ellen,Pompeo,60s
1271,Kurt,Angle,60s
1272,Anastacia,,60s
1273,Bryan,Cranston,50s
1274,Marc,Anthony,60s
1275,Veronica,Lake,20s
1276,Casey,Affleck,70s
1277,J.J.,Abrams,60s
1278,Patti,Page,20s
1279,Melvin,Calvin,10s
1280,Matt,Hardy,70s
1281,Dennis,Rodman,60s
1282,Steven,Williams,60s
1284,Gertrude,B. Elion,10s
1285,George,Papandreou jr.,50s
1286,Debra,Messing,60s
1288,Alex,Jones,70s
1289,Brian,Greene,60s
1290,Robert,Wadlow,10s
1291,Sofia,Coppola,70s
1292,George,A. Romero,40s
1293,Willow,Smith,00s
1294,Sidney,Lumet,20s
1295,Matt,Stone,70s
1296,Trey,Parker,60s
1297,Bradley,Cooper,70s
1298,Mandy,Moore,80s
1299,Joseph,Gordon-Levitt,80s
1300,Clyde,Drexler,60s
1301,Donald,A. Glaser,20s
1302,Laura,Linney,60s
1303,Nikki,Reed,80s
1304,Alexis,Bledel,80s
1305,Thomas,Cech,40s
1306,CM,Punk,70s
1307,Seth,MacFarlane,70s
1308,Emily,Osment,90s
1309,Will.i.am,,70s
1311,Brendan,Fraser,60s
1312,Camilla,Belle,80s
1314,Michael,Chang,70s
1315,Edmund,Phelps,30s
1316,Jason,Segel,80s
1317,Donna,Reed,20s
1318,Leon,Cooper,30s
1320,Jennifer,Morrison,70s
1321,Izzy,Stradlin,60s
1322,Charles,Hard Townes,10s
1323,Burton,Richter,30s
1324,Terrence,Howard,60s
1325,Bobby,Fischer,40s
1326,James,Rainwater,10s
1327,Sheldon,Lee Glashow,30s
1328,Philip,Warren Anderson,20s
1330,Maggie,Gyllenhaal,70s
1331,Michelle,Obama,60s
1332,Val,Logsdon Fitch,20s
1333,Crispin,Glover,60s
1334,Rob,Zombie,60s
1336,William,H. Macy,50s
1337,Dennis,Tito,40s
1338,James,Caan,40s
1339,Eric,Roberts,50s
1340,Vin,Diesel,60s
1341,Philip,Kotler,30s
1342,Sylvia,Plath,30s
1343,Aaron,Swartz,80s
1344,Pat,Nixon,10s
1345,Timbaland,,70s
1347,Steven,Tyler,40s
1348,Elizabeth,Mitchell,70s
1349,Sam,Harris,60s
1350,Leonard,Bernstein,10s
1351,Paul,Ryan,70s
1352,Jayne,Mansfield,30s
1353,K.,Barry Sharpless,40s
1354,John,Fenn,10s
1355,Tia,Carrere,60s
1356,Hillary,Rodham Clinton,40s
1357,Jordan,Rudess,50s
1358,Bill,Russell,30s
1359,Jason,Mraz,70s
1360,Bruce,Beutler,50s
1361,Corey,Taylor,70s
1362,Kelly,Clarkson,80s
1364,Michael,Clarke Duncan,50s
1365,Calvin,Klein,40s
1367,James,L. Brooks,40s
1368,Jack,White,70s
1369,Philip,Zimbardo,30s
1370,Verne,Troyer,60s
1371,Tony,Shalhoub,50s
1372,Topher,Grace,70s
1373,Martin,Chalfie,40s
1374,Jack,Kerouac,20s
1375,Ralph,Lauren,30s
1376,Melanie,Griffith,50s
1377,Russell,Alan Hulse,50s
1378,Mitt,Romney,40s
1379,Nicky,Hilton,80s
1381,Julia,Stiles,80s
1382,Michael,Cimino,30s
1383,ReneÃ©,O'Connor,70s
1384,Edward,B. Lewis,10s
1385,Gene,Wilder,30s
1386,Barry,Manilow,40s
1387,Derrick,Rose,80s
1388,Douglas,D. Osheroff,40s
1390,Charlie,Kaufman,50s
1392,Bill,Goldberg,60s
1393,Chazz,Palminteri,50s
1394,Annette,Bening,50s
1395,Shelton,Benjamin,70s
1396,Anne,Hathaway,80s
1397,Norman,"Schwarzkopf, Jr.",30s
1398,Dan,Brown,60s
1399,Kristen,Stewart,90s
1400,Sydney,Pollack,30s
1401,Laura,Dern,60s
1402,Chris,Pine,80s
1404,George,Kennedy,20s
1405,Piper,Perabo,70s
1406,Elinor,Ostrom,30s
1407,Angelina,Jolie,70s
1408,Sam,J. Jones,50s
1409,Karl,Malone,60s
1410,Andrew,Garfield,80s
1411,Devon,Aoki,80s
1412,Julius,Axelrod,10s
1413,James,Harden,80s
1414,C.,Wright Mills,10s
1415,John,Malkovich,50s
1416,Jodie,Foster,60s
1417,Michael,Biehn,50s
1418,Cindy,Crawford,60s
1419,Robert,Kiyosaki,40s
1420,Robert,F. Furchgott,10s
1422,Robert,Wagner,30s
1423,Dwight,Howard,80s
1424,Kim,Kardashian,80s
1426,Jared,Leto,70s
1427,Robert,Patrick,50s
1428,Rachel,Bilson,80s
1429,Gilbert,Gottfried,50s
1430,Peter,MacNicol,50s
1431,Frank,Welker,40s
1432,James,Caviezel,60s
1433,Eartha,Kitt,20s
1434,Patrick,Swayze,50s
1435,Joshua,Lederberg,20s
1436,Jack,Johnson,70s
1437,Toni,Braxton,60s
1438,Rasheed,Wallace,70s
1439,Vince,Carter,70s
1440,Donald,J. Cram,10s
1441,Joseph,"Hooton Taylor, Jr.",40s
1442,Ellen,Barkin,50s
1444,Rosario,Dawson,70s
1445,Ray,Liotta,50s
1446,Peter,Graves,20s
1447,Tracy,McGrady,70s
1448,Kate,Bosworth,80s
1449,Elisabeth,Shue,60s
1450,Jeremy,Lin,80s
1451,Mary,McDonnell,50s
1452,Marlon,Wayans,70s
1453,Paul,D. Boyer,10s
1454,Kesha,,80s
1455,Lamar,Odom,70s
1456,Ben,Wallace,70s
1457,Matthew,Fox,60s
1458,Huell,Howser,40s
1459,Baruch,Samuel Blumberg,20s
1460,Denise,Richards,70s
1462,Kathy,Bates,40s
1463,Clifford,Shull,10s
1464,Omar,Epps,70s
1465,Kanye,West,70s
1466,Wes,Anderson,60s
1467,Jimmy,Connors,50s
1468,Howard,Gardner,40s
1469,Cedric,the Entertainer,60s
1470,Jackie,Joyner-Kersee,60s
1471,Kevin,Garnett,70s
1472,Immanuel,Wallerstein,30s
1473,Andy,Williams,20s
1474,Michael,E. Brown,60s
1475,Skrillex,,80s
1476,Wesley,Snipes,60s
1477,Sean,Penn,60s
1478,Bam,Margera,70s
1479,Stanley,Cohen,20s
1480,Barack,Obama,60s
1481,Celeste,Holm,10s
1482,Chris,Bosh,80s
1483,Kevin,Costner,50s
1484,Rosalyn,Sussman Yalow,20s
1485,Brad,Guzan,80s
1486,Rick,Perry,50s
1488,Venus,Williams,80s
1489,Don,Cheadle,60s
1490,Fred,Dalton Thompson,40s
1491,Jane,Lynch,60s
1492,Jaden,Smith,90s
1493,Marshall,Warren Nirenberg,20s
1494,Theodore,Kaczynski,40s
1495,Colbie,Caillat,80s
1496,Brad,Friedel,70s
1497,Parker,Posey,60s
1498,Scott,Speed,80s
1500,William,Alfred Fowler,10s
1501,Paul,Wight,70s
1502,Edwin,Moses,50s
1503,David,Bryan,60s
1504,Chris,Cooper,50s
1505,Tyrone,Power,10s
1508,Joe,DiMaggio,10s
1510,Marcia,Cross,60s
1511,Michael,E. Porter,40s
1512,Janet,Leigh,20s
1513,Ed,Asner,20s
1514,Greg,Kinnear,60s
1515,Paul,Berg,20s
1516,Jack,Palance,10s
1517,David,Arquette,70s
1518,Mercedes,Ruehl,40s
1519,Jane,Russell,20s
1520,Sam,Shepard,40s
1521,Ray,Allen,70s
1522,William,Howard Stein,10s
1523,Alan,J. Pakula,20s
1524,Dianne,Wiest,40s
1525,Ron,Perlman,50s
1526,Calista,Flockhart,60s
1528,Mario,Lanza,20s
1529,David,Henrie,80s
1530,Duff,McKagan,60s
1531,William,Daniel Phillips,40s
1533,Forest,Whitaker,60s
1534,Carmelo,Anthony,80s
1535,Amanda,Peet,70s
1537,Chauncey,Billups,70s
1538,Kenny,G,50s
1539,Paul,Greengard,20s
1540,Marilyn,Manson,60s
1541,Justin,Gatlin,80s
1542,Lloyd,Banks,80s
1543,Dana,Delany,50s
1544,Jim,Cummings,50s
1545,Arthur,Kornberg,10s
1546,Richard,Axel,40s
1547,Michael,Johnson,60s
1548,Sting,,50s
1549,George,Lucas,40s
1550,Jensen,Ackles,70s
1552,Randy,Orton,80s
1553,Irwin,Rose,20s
1554,Vince,Vaughn,70s
1555,Christian,B. Anfinsen,10s
1556,Mark,Spitz,50s
1557,Ben,Gazzara,30s
1558,Sienna,Miller,80s
1559,Jessica,Biel,80s
1560,Nicholas,Sparks,60s
1561,Jeremy,Renner,70s
1562,Paul,Rudd,60s
1563,Tara,Reid,70s
1564,Jim,Courier,70s
1565,Emmy,Rossum,80s
1566,Elias,James Corey,20s
1567,Jeff,Hardy,70s
1568,Josh,Duhamel,70s
1569,Billy,Graham,10s
1570,Ali,Larter,70s
1571,Leon,Panetta,30s
1572,Keke,Palmer,90s
1573,Joseph,Barbera,10s
1574,Terry,O'Quinn,50s
1575,Ashlee,Simpson-Wentz,80s
1576,Neil,Patrick Harris,70s
1577,Matt,Biondi,60s
1578,Robert,Fogel,20s
1579,Patrick,Dempsey,60s
1580,Jay,Mohr,70s
1581,Mark,Ruffalo,60s
1583,Sasha,Grey,80s
1584,Metta,World Peace,70s
1585,Brad,Renfro,80s
1587,Zach,Braff,70s
1588,Pharrell,Williams,70s
1590,Jeff,Daniels,50s
1591,Billie,Joe Armstrong,70s
1595,Michael,C. Hall,70s
1596,MC,Hammer,60s
1597,Laura,Prepon,80s
1598,Brandon,Lee,60s
1599,Thomas,Schelling,20s
1600,Herbert,A. Hauptman,10s
1601,Jerome,Karle,10s
1602,Daniel,Nathans,20s
1603,Jesse,Eisenberg,80s
1604,Kim,Peek,50s
1605,Summer,Glau,80s
1606,Adam,Savage,60s
1607,Paul,Pierce,70s
1608,John,Boehner,40s
1610,Cyd,Charisse,20s
1611,Hamilton,O. Smith,30s
1612,Katherine,Moennig,70s
1613,Mark,Hamill,50s
1615,Lauren,Graham,60s
1616,Anna,Politkovskaya,50s
1617,George,Stigler,10s
1618,Zendaya,Coleman,90s
1619,Earl,Wilbur Sutherland Jr.,10s
1620,Bode,Miller,70s
1621,Joseph,Murray,10s
1622,Landon,Donovan,80s
1623,Garrett,Hedlund,80s
1624,Martin,Lewis Perl,20s
1625,Sarah,Wayne Callies,70s
1626,Robert,Gates,40s
1627,Michael,Stuart Brown,40s
1628,Neil,deGrasse Tyson,50s
1629,Teri,Hatcher,60s
1630,Andy,Richter,60s
1631,Hal,Holbrook,20s
1633,Eric,Allin Cornell,60s
1634,James,Franco,70s
1635,Sonia,Sotomayor,50s
1637,Kal,Penn,70s
1639,Andrew,Fire,50s
1640,Eva,Longoria,70s
1641,Melvin,Schwartz,30s
1642,Tracy,Austin,60s
1643,Michelle,Williams,80s
1644,Kevin,Michael Richardson,60s
1645,William,Hanna,10s
1646,Seann,William Scott,70s
1647,Jared,Padalecki,80s
1648,John,Hennigan,70s
1649,George,H. W. Bush,20s
1650,Mardy,Fish,80s
1653,Howard,Martin Temin,30s
1654,Peter,Facinelli,70s
1655,Jeremy,Wariner,80s
1656,Brandon,Flowers,80s
1657,Julia,Child,10s
1660,Bryan,Singer,60s
1661,Sally,Field,40s
1662,Jerry,Goldsmith,20s
1663,Thomas,J. Sargent,40s
1664,January,Jones,70s
1665,Sophia,Bush,80s
1666,JoJo,,90s
1667,Roy,J. Glauber,20s
1668,David,Paterson,50s
1669,Pitbull,,80s
1670,Angelo,Taylor,70s
1671,Missy,Franklin,90s
1672,Tom,Waits,40s
1674,Jessica,Alba,80s
1675,Clint,Dempsey,80s
1676,Marlee,Matlin,60s
1677,Richard,Stallman,50s
1678,Amanda,Seyfried,80s
1679,Mary,Lynn Rajskub,70s
1680,Frederick,Chapman Robbins,10s
1681,Tom,DeLonge,70s
1682,Evan,Rachel Wood,80s
1683,Maggie,Grace,80s
1684,Jorge,Garcia,70s
1685,Eva,Mendes,70s
1686,Corbin,Bleu,80s
1687,Fat,Joe,70s
1688,Linda,B. Buck,40s
1690,Vernon,Chatman,70s
1691,Peter,Agre,40s
1692,Donald,Trump,40s
1693,Louis,Ignarro,40s
1694,Mark,Hoppus,70s
1695,James,Marsden,70s
1696,Phillip,Allen Sharp,40s
1697,Elizabeth,Banks,70s
1698,John,Cazale,30s
1699,Reggie,Miller,60s
1700,Amy,Lee,80s
1701,Michael,Bradley,80s
1702,Ian,Somerhalder,70s
1703,Peter,A. Diamond,40s
1704,Jessica,Chastain,70s
1705,Nestor,Carbonell,60s
1706,Lindsay,Lohan,80s
1707,Ciara,,80s
1708,Martin,Rodbell,20s
1709,Bobby,Jindal,70s
1711,Steve,Morse,50s
1712,Joseph,Heller,20s
1713,Lea,Michele,80s
1714,William,Holden,10s
1716,Alan,J. Heeger,30s
1717,Steve,Zahn,60s
1718,Saoirse,Ronan,90s
1719,Lil,Jon,70s
1721,Paris,Hilton,80s
1722,Thom,Mayne,40s
1723,Vanessa,Hudgens,80s
1724,Jeff,Bennett,60s
1725,Robert,Bruce Merrifield,20s
1726,Eric,Maskin,50s
1727,Robert,Lefkowitz,40s
1728,Kristen,Bell,80s
1729,Gilbert,Arenas,80s
1731,Joseph,L. Goldstein,40s
1732,J.,Michael Bishop,30s
1735,Gene,Hackman,30s
1736,Roger,Y. Tsien,50s
1737,Kathryn,Bigelow,50s
1738,Cameron,Diaz,70s
1739,Alfred,G. Gilman,40s
1740,Abigail,Breslin,90s
1742,Arthur,Penn,20s
1743,Richard,Bach,30s
1744,Giuseppe,Rossi,80s
1745,Dan,Castellaneta,50s
1746,Edwin,G. Krebs,10s
1747,Lady,Gaga,80s
1748,T.I.,,80s
1749,John,Robert Schrieffer,30s
1750,Thomas,Huckle Weller,10s
1752,Carrie,Underwood,80s
1753,Herman,Cain,40s
1754,Alvin,E. Roth,50s
1755,Robert,Duvall,30s
1756,Liv,Tyler,70s
1757,John,Legend,70s
1758,Cee-Lo,,70s
1759,Greg,Cipes,80s
1760,Dale,T. Mortensen,30s
1761,Ted,Danson,40s
1762,Holly,Marie Combs,70s
1763,Stan,Lee,20s
1764,Norman,Finkelstein,50s
1765,Jason,Earles,70s
1766,Paula,Abdul,60s
1767,Courtney,Love,60s
1768,J.,D. Salinger,10s
1769,Elle,Fanning,90s
1770,Betty,White,20s
1771,Kirk,Hammett,60s
1773,Timothy,Leary,20s
1774,Monica,Lewinsky,70s
1775,Edward,Norton Lorenz,10s
1776,Zoe,Saldana,70s
1777,E.,Donnall Thomas,20s
1778,Alan,Alda,30s
1779,Timothy,D. Cook,60s
1780,ChloÃ«,Sevigny,70s
1781,Terrence,Malick,40s
1782,Megan,Fox,80s
1783,Brooke,Shields,60s
1784,Brandon,Routh,70s
1786,Frank,McCourt,30s
1789,Ben,Bernanke,50s
1790,Clint,Eastwood,30s
1791,Justin,Bartha,70s
1792,Terry,Crews,60s
1793,Danica,Patrick,80s
1794,Michelle,Monaghan,70s
1795,Kurt,Russell,50s
1796,Boris,Johnson,60s
1797,Robert,Sean Leonard,60s
1798,Taylor,Momsen,90s
1799,Dan,Simmons,40s
1801,Alicia,Silverstone,70s
1802,Richard,F. Heck,30s
1803,AnnaSophia,Robb,90s
1804,Linda,Lovelace,40s
1805,Richard,Pryor,40s
1806,Michele,Bachmann,50s
1807,Betty,Friedan,20s
1808,Mary,Blair,10s
1809,Mike,Epps,70s
1810,Floyd,Landis,70s
1811,Channing,Tatum,80s
1812,Phil,Spector,40s
1813,Chris,Evans,80s
1814,Natalie,Wood,30s
1815,William,Standish Knowles,10s
1816,Deron,Williams,80s
1817,Robert,McNamara,10s
1818,Carla,Gugino,70s
1819,Mike,Mizanin,80s
1820,Ne-Yo,,80s
1821,Bernard,L. Madoff,30s
1822,Ashley,Tisdale,80s
1823,Paul,Tibbets,10s
1824,Scarlett,Johansson,80s
1825,Kenneth,G. Wilson,30s
1826,Andre,Iguodala,80s
1827,Liev,Schreiber,60s
1828,David,Duchovny,60s
1829,Geena,Davis,50s
1830,Oliver,Stone,40s
1831,Daniella,Monet,80s
1832,Mary,Elizabeth Winstead,80s
1833,Joey,Jordison,70s
1834,Sunita,Williams,60s
1836,Dian,Fossey,30s
1837,Jerry,Brown,30s
1838,Paul,Flory,10s
1839,Justin,Long,70s
1840,Ken,Anderson,70s
1841,Gordon,Moore,20s
1842,Rob,Schneider,60s
1843,Matt,Sydal,80s
1845,Olivia,Wilde,80s
1847,Jennifer,Carpenter,70s
1848,Chris,Brown,80s
1849,John,Watts Young,30s
1850,Tyson,Gay,80s
1851,Zachary,Levi,80s
1852,Robert,Knepper,50s
1853,Victoria,Justice,90s
1854,Vera,Farmiga,70s
1855,Gore,Verbinski,60s
1856,Ronald,Reagan,10s
1857,Luis,Alvarez,10s
1858,Josh,Radnor,70s
1859,T-Pain,,80s
1860,Zack,Snyder,60s
1861,Jonas,Salk,10s
1862,John,L. Hall,30s
1863,Robert,H. Grubbs,40s
1864,Richard,R. Schrock,40s
1865,H.,David Politzer,40s
1866,Edward,Mills Purcell,10s
1867,Sarah,Palin,60s
1868,Michael,Emerson,50s
1869,Justin,Chambers,70s
1870,Lana,Del Rey,80s
1871,Josh,Hutcherson,90s
1872,Danny,Glover,40s
1873,Tim,Howard,70s
1874,ChloÃ«,Moretz,90s
1875,Leighton,Meester,80s
1876,John,Michael Talbot,50s
1877,George,Bush,40s
1880,Owen,Chamberlain,20s
1881,Jordin,Sparks,80s
1882,Ginnifer,Goodwin,70s
1883,Harold,E. Varmus,30s
1884,Hayden,Panettiere,80s
1885,Maggie,Q,70s
1886,Jimmy,Wales,60s
1887,Lucas,Grabeel,80s
1888,Marshall,Allman,80s
1889,Emma,Stone,80s
1890,Jason,Kidd,70s
1891,Roger,Ebert,40s
1892,Lindsey,Vonn,80s
1893,Katie,Holmes,70s
1894,Mel,Gibson,50s
1895,Clifford,Geertz,20s
1896,Stanley,Tucci,60s
1897,Suzanne,Collins,60s
1898,Annise,Parker,50s
1899,John,Cena,70s
1901,Ed,"Wood, Jr.",20s
1902,David,Strathairn,40s
1903,Eminem,,70s
1904,Stephenie,Meyer,70s
1905,Cam,Gigandet,80s
1907,Eddie,Fatu,70s
1908,Jessica,Simpson,80s
1909,Mitchel,Musso,90s
1910,Bob,Dylan,40s
1911,Rajon,Rondo,80s
1912,Jeff,Dunham,60s
1913,Robert,W. Holley,20s
1914,Tom,Welling,70s
1916,Chris,Paul,80s
1917,Kelly,Kelly,80s
1918,Keri,Hilson,80s
1919,Gerald,Ford,10s
1920,Eric,Dane,70s
1921,Zachary,Quinto,70s
1922,Saul,Perlmutter,50s
1923,Rufus,Wainwright,70s
1924,Dick,Cheney,40s
1926,John,Kerry,40s
1927,Wade,Williams,60s
1928,Blake,Clark,40s
1929,Taylor,Swift,80s
1930,Akon,,70s
1931,Gabrielle,Giffords,70s
1932,Sam,Querrey,80s
1933,Steve,Jobs,50s
1934,Paul,Wesley,80s
1935,O.,J. Simpson,40s
1936,Darren,Criss,80s
1937,Orson,Scott Card,50s
1938,Dakota,Fanning,90s
1940,Brian,P. Schmidt,60s
1941,Viola,Davis,60s
1942,Nicole,Scherzinger,70s
1943,Selena,Gomez,90s
1945,Seth,Green,70s
1946,Steve,Wozniak,50s
1947,Chace,Crawford,80s
1948,Craig,Mello,60s
1949,Dudley,R. Herschbach,30s
1950,Emma,Roberts,90s
1951,John,C. Mather,40s
1952,George,Smoot,40s
1953,Roger,D. Kornberg,40s
1954,Kristen,Schaal,70s
1955,Michio,Kaku,40s
1956,Josh,Holloway,60s
1958,Matisyahu,,70s
1959,Steven,Chu,40s
1961,Rick,Riordan,60s
1962,Miley,Cyrus,90s
1963,Zac,Efron,80s
1964,Michelle,Pfeiffer,50s
1965,Wiz,Khalifa,80s
1966,Hope,Solo,80s
1967,Katy,Perry,80s
1969,Suzanne,Vega,50s
1970,James,Gandolfini,60s
1971,Bella,Thorne,90s
1972,Hilary,Duff,80s
1973,LaShawn,Merritt,80s
1974,Kellan,Lutz,80s
1975,Eliot,Spitzer,50s
1976,Hayley,Williams,80s
1978,Blake,Griffin,80s
1979,Billy,Mays,50s
1980,Jozy,Altidore,80s
1982,Ryan,Lochte,80s
1983,Jason,Bateman,60s
1984,Sean,Kingston,90s
1986,Mickey,Rourke,50s
1987,Johnny,Cash,30s
1988,Robert,Redford,30s
1990,John,Isner,80s
1991,Demi,Lovato,90s
1992,Jennifer,Lawrence,90s
1993,Randy,Pausch,60s
1994,David,Spade,60s
1995,Gerard,Way,70s
1996,Taylor,Lautner,90s
1998,Jim,Parsons,70s
1999,Bob,Beamon,40s
2000,Matthew,Perry,60s
2001,Flo,Rida,70s
2002,Dianna,Agron,80s
2003,Kim,Stanley Robinson,50s
2004,Michael,Jackson,50s
2006,Jim,Morrison,40s
2007,Debbie,Harry,40s
2008,David,Archuleta,90s
2009,Ashley,Greene,80s
2010,Jamie,Lee Curtis,50s
2011,Jason,Derulo,80s
2012,Sean,Astin,70s
2013,Tobey,Maguire,70s
2014,Christina,Ricci,80s
2015,Anna,Kendrick,80s
2016,Anjelica,Huston,50s
2017,Jacqueline,Kennedy Onassis,20s
2018,Joan,Baez,40s
2020,Joe,Jonas,80s
2021,Christina,Aguilera,80s
2022,Holly,Hunter,50s
2023,Rebecca,Soni,80s
2024,Ellen,DeGeneres,50s
2025,Nick,Jonas,90s
2026,Emilio,Estevez,60s
2028,Jack,Black,60s
2029,Jesse,Jackson,40s
2030,Gloria,Stuart,10s
2031,Jack,Nicholson,30s
2032,Ray,Bradbury,20s
2033,James,Earl Jones,30s
2034,James,Dean,30s
2035,Carmen,Electra,70s
2036,Robert,Trujillo,60s
2037,Booker,Huffman,60s
2038,Tom,Cruise,60s
2039,Carl,Woese,20s
2040,Jeff,Koons,50s
2041,Geraldine,Chaplin,40s
2042,Annie,Leibovitz,40s
2043,Anne,Rice,40s
2045,Robert,F. Engle,40s
2046,Bill,Murray,50s
2047,Criss,Angel,60s
2049,Lisa,Marie Presley,60s
2050,David,Lee,30s
2051,Michael,Phelps,80s
2054,Shirley,Temple,20s
2056,Jennifer,Love Hewitt,70s
2057,Josh,Brolin,60s
2058,David,Cook,80s
2059,Peter,Wentz,70s
2062,Kalomoira,Saranti,80s
2067,Brian,Kobilka,50s
2068,Gore,Vidal,20s
2069,Bobby,Ray,80s
2070,Oprah,Winfrey,50s
2071,Debby,Ryan,90s
2072,Kevin,Love,80s
2073,Jennifer,Aniston,60s
2074,Joe,Satriani,50s
2075,Rod,Steiger,20s
2076,Rock,Hudson,20s
2078,Mark,Zuckerberg,80s
2079,Jennifer,Garner,70s
2080,Sarah,Jessica Parker,60s
2081,H.,Jon Benjamin,60s
2082,Jeff,Goldblum,50s
2083,George,E. Smith,30s
2084,Chris,O'Donnell,70s
2085,Sterling,Knight,80s
2086,Blake,Lively,80s
2087,Shannen,Doherty,70s
2088,Xzibit,,70s
2089,Amanda,Bynes,80s
2090,Kris,Allen,80s
2091,Rick,Ross,70s
2092,Paulette,Goddard,10s
2093,Adrien,Brody,70s
2095,Harvey,Milk,30s
2096,Adam,Lambert,80s
2098,Jon,Voight,30s
2100,Johnny,Knoxville,70s
2101,Heather,Elizabeth Morris,80s
2102,Lance,Armstrong,70s
2103,Ken,Thompson,40s
2105,Janeane,Garofalo,60s
2106,James,Blake,70s
2107,Emile,Hirsch,80s
2108,Candice,Accola,80s
2109,Thomas,A. Steitz,40s
2110,David,J. Wineland,40s
2111,Alyson,Michalka,80s
2112,Larry,Sanger,60s
2113,Daryl,Sabara,90s
2114,Daniel,Carleton Gajdusek,20s
2115,Jeff,Gordon,70s
2116,Thomas,Samuel Kuhn,20s
2117,Kevin,Mitnick,60s
2118,Rick,Santorum,50s
2120,Robert,B. Laughlin,50s
2122,Bruno,Mars,80s
2123,Greyson,Michael Chance,90s
2124,Bradley,Manning,80s
2125,Matthew,McConaughey,60s
2126,Tim,Robbins,50s
2129,Gary,Coleman,60s
2131,Heather,Locklear,60s
2133,Otis,Redding,40s
2136,Sasha,Cohen,80s
2137,Richard,Nixon,10s
